,feature,long_name,description,category
0,label,label_id,Object ID in the segmented image,n/a
1,min_calliper,min_caliper_distance,Minimal caliper distance,morphology
2,max_calliper,max_caliper_distance,Maximal caliper distance,morphology
3,smallest_largest_calliper,min_to_max_caliper_distance_ratio,Ratio of the minimal and maximal caliper distances,morphology
4,min_radius,min_radial_distance,Minimal distance of the centroid to the boundary,morphology
5,max_radius,max_radial_distance,Maximal distance of the centroid to the boundary,morphology
6,med_radius,median_radial_distance,Median distance of the centroid to the boundary,morphology
7,avg_radius,mean_radial_distance,Mean distance of the centroid to the boundary,morphology
8,mode_radius,mode_radial_distance,Mode of the radial distances,morphology
9,d25_radius,p25_radial_distance,25%-tile of the radial distances,morphology
10,d75_radius,p75_radial_distance,75%-tile of the radial distances,morphology
11,std_radius,std_radial_distance,Standard deviation of the radial distances,morphology
12,feret_max,max_feret_diameter,Maximum Feret diameter,morphology
13,centroid-0,centroid_y,y coordinate of the centroid,morphology
14,centroid-1,centroid_x,x coordinate of the centroid,morphology
15,area,area,Area,morphology
16,perimeter,perimeter,Perimeter,morphology
17,bbox_area,bbox_area,Area of the bounding box,morphology
18,convex_area,area_convex_hull,Area of the convex hull,morphology
19,equivalent_diameter,equivalent_diameter,Diameter of a circle with equal area,morphology
20,major_axis_length,major_axis_length,Length of the major axis of an ellipsoid of equal area,morphology
21,minor_axis_length,minor_axis_length,Length of the minor axis of an ellipsoid of equal area,morphology
22,eccentricity,eccentricity,Eccentricity of an ellipsoid with an equal second-order moment,morphology
23,orientation,orientation,Angle between the y-axis and the major axis,morphology
24,concavity,concavity,Normalized difference of the area of the convex hull and the actual area,morphology
25,solidity,solidity,Area divided by the area of the convex hull,morphology
26,a_r,aspect_ratio,Ratio of the minor to the major axis length,morphology
27,shape_factor,shape_factor,Shape factor that is the square of the perimeter divided by 4 times pi times the area,morphology
28,area_bbarea,area_bbarea,Ratio of the area to the bounding box area,morphology
29,avg_curvature,mean_curvature,Average of the curvature of the boundary,boundary
30,std_curvature,std_curvature,Standard deviation of the curvature of the boundary,boundary
31,npolarity_changes,num_polarity_changes,Number of the polarity changes of the boundary,boundary
32,max_posi_curv,max_pos_curvature,Maximal positive curvature of the boundary,boundary
33,avg_posi_curv,mean_pos_curvature,Average positive curvature of the boundary,boundary
34,med_posi_curv,median_pos_curvature,Median positive curvature of the boundary,boundary
35,std_posi_curv,std_pos_curvature,Standard deviation of the positive curvature of the boundary,boundary
36,sum_posi_curv,sum_pos_curvature,Sum of the positive curvature of the boundary,boundary
37,len_posi_curv,length_pos_curvature,Length of the positive curvature of the boundary,boundary
38,max_neg_curv,max_neg_curvature,Maximal negative curvature of the boundary,boundary
39,avg_neg_curv,mean_neg_curvature,Average negative curvature of the boundary,boundary
40,med_neg_curv,median_neg_curvature,Median of the negative curvature of the boundary,boundary
41,std_neg_curv,std_neg_curvature,Standard deviation of the negative curvature of the boundary,boundary
42,sum_neg_curv,sum_neg_curvature,Sum of the negative curvature of the boundary,boundary
43,len_neg_curv,length_neg_curvature,Length of the negative curvature of the boundary,boundary
44,num_prominant_pos_curv,num_prominant_pos_curvature,Number of prominent peaks of the positive curvature distribution of the boundary,boundary
45,prominance_prominant_pos_curv,mean_prominant_pos_curvature,Average of the prominance of the prominent peaks of the positive curvature distribution of the boundary,boundary
46,width_prominant_pos_curv,width_prominant_pos_curvature,Average width of the prominent peaks of the positive curvature distribution of the boundary,boundary
47,prominant_pos_curv,prominant_pos_curvature,Average of the local positive curvature around the prominent peaks,boundary
48,num_prominant_neg_curv,num_prominant_neg_curvature,Number of prominent peaks of the negative curvature distribution of the boundary,boundary
49,prominance_prominant_neg_curv,mean_prominant_neg_curvature,Average of the prominance of the prominent peaks of the negative curvature distribution of the boundary,boundary
50,width_prominant_neg_curv,width_prominant_neg_curvature,Average width of the prominent peaks of the negative curvature distribution of the boundary,boundary
51,prominant_neg_curv,prominant_neg_curvature,Average of the local negative curvature around the prominent peaks,boundary
52,frac_peri_w_posi_curvature,perimeter_to_pos_curvature,Ratio of the length of the boundary with positive curvature to the total perimeter,boundary
53,frac_peri_w_neg_curvature,perimeter_to_neg_curvature,Ratio of the length of the boundary with negative curvature to the total perimeter,boundary
54,frac_peri_w_polarity_changes,perimeter_to_num_polarity_changes,Number of polarity changes of the local curvature of the boundary normalized by the perimeter length,boundary
55,int_min,min_intensity,Minimal intensity,intensity
56,int_d25,p25_intensity,25%-tile of the intensity distribution,intensity
57,int_median,median_intensity,Median intensity,intensity
58,int_d75,p75_intensity,75%-tile of the intensity distribution,intensity
59,int_max,max_intensity,Maximal intensity,intensity
60,int_mean,mean_intensity,Average intensity,intensity
61,int_mode,mode_intensity,Mode of the intensity distribution,intensity
62,int_sd,std_intensity,Standard deviation of the intensity distribution,intensity
63,kurtosis,kurtosis_intensity_distribution,Kurtosis of the intensity distribution,intensity
64,skewness,skewness_intensity_distribution,Skewness of the intensity distribution,intensity
65,entropy,entropy_intensity_distribution,Entropy of the intensity distribution,intensity
66,i80_i20,p80_to_p20_intensity_ratio,Ratio of the 80%-to-20%-tile of the intensity distribution,chromatin condensation
67,nhigh_nlow,p80_area_to_p20_area_ratio,Ratio of the area of where the intensity is above the 80%-tile respectively below the 20%-tile of the intensity distribution,chromatin condensation
